,Date,Hashrate_Price_Multiple
486,2018-10-15,42247089.1808
487,2018-10-14,52252978.7236
488,2018-10-13,48917682.2093
489,2018-10-12,58923571.7521
490,2018-10-11,53364744.2283
491,2018-10-10,48176505.2061
492,2018-10-09,50029447.7141
493,2018-10-08,52623567.2252
494,2018-10-07,46323562.6982
495,2018-10-06,48176505.2061
496,2018-10-05,55588275.2378
497,2018-10-04,51556103.2103
498,2018-10-03,48711628.5505
499,2018-10-02,56178374.5327
500,2018-10-01,57956171.1951
501,2018-09-30,54045018.5377
502,2018-09-29,54756137.2027
503,2018-09-28,50844984.5454
504,2018-09-27,49422747.2154
505,2018-09-26,60089527.19
506,2018-09-25,52622781.2078
507,2018-09-24,53333899.8728
508,2018-09-23,55111696.5352
509,2018-09-22,51200543.8779
510,2018-09-21,54756137.2027
511,2018-09-20,54432500.6731
512,2018-09-19,49547532.664
513,2018-09-18,47105048.6594
514,2018-09-17,48500753.8049
515,2018-09-16,48849680.0912
516,2018-09-15,46058269.8003
517,2018-09-14,51641090.3822
518,2018-09-13,58619616.1095
519,2018-09-12,49198606.3776
520,2018-09-11,47105048.6594
521,2018-09-10,56874984.6776
522,2018-09-09,52338942.9549
523,2018-09-08,53036795.5276
524,2018-09-07,50161828.7939
525,2018-09-06,44142409.3386
526,2018-09-05,42135936.1869
527,2018-09-04,48155355.6421
528,2018-09-03,48155355.6421
529,2018-09-02,50496240.9858
530,2018-09-01,51833889.7537
531,2018-08-31,51499477.5617
532,2018-08-30,46483294.6823
533,2018-08-29,51165065.3698
534,2018-08-28,61866255.5125
535,2018-08-27,57853309.2089
536,2018-08-26,45145645.9145
537,2018-08-25,48824180.026
538,2018-08-24,47324585.0892
539,2018-08-23,50818346.4046
540,2018-08-22,47006970.4242
541,2018-08-21,47642199.7543
542,2018-08-20,46054126.4291
543,2018-08-19,50818346.4046
544,2018-08-18,48277429.0843
545,2018-08-17,50183117.0745
546,2018-08-16,51135961.0696
547,2018-08-15,43195594.4439
548,2018-08-14,47642199.7543
549,2018-08-13,49230273.0794
550,2018-08-12,53994493.0548
551,2018-08-11,52051671.9162
552,2018-08-10,44066472.2472
553,2018-08-09,46432457.3343
554,2018-08-08,44657968.518999994
555,2018-08-07,38743005.8012
556,2018-08-06,47319701.742
557,2018-08-05,52051671.9162
558,2018-08-04,49094190.5573
559,2018-08-03,45249464.7908
560,2018-08-02,44362220.3831
561,2018-08-01,43474975.9754
562,2018-07-31,39630250.2089
563,2018-07-30,50277183.1008
564,2018-07-29,37327804.5992
565,2018-07-28,42991333.5728
566,2018-07-27,42476467.3025
567,2018-07-26,45565664.9245
568,2018-07-25,40931868.4915
569,2018-07-24,42733900.4377
570,2018-07-23,46852830.6003
571,2018-07-22,35268339.5178
572,2018-07-21,39644702.8157
573,2018-07-20,44021066.1135
574,2018-07-19,44793365.518999994
575,2018-07-18,40931868.4915
576,2018-07-17,31995588.3032
577,2018-07-16,35461777.0361
578,2018-07-15,35461777.0361
579,2018-07-14,38128076.0613
580,2018-07-13,37594816.2563
581,2018-07-12,35995036.8411
582,2018-07-11,39727855.4765
583,2018-07-10,36261666.7437
584,2018-07-09,42127524.5992
585,2018-07-08,41594264.7942
586,2018-07-07,42660784.4043
587,2018-07-06,36528296.6462
588,2018-07-05,35728406.9386
589,2018-07-04,30929068.6931
590,2018-07-03,37594816.2563
591,2018-07-02,37103365.372
592,2018-07-01,35588942.2956
593,2018-06-30,38112980.7563
594,2018-06-29,39627403.8327
595,2018-06-28,30540865.3742
596,2018-06-27,36850961.5259
597,2018-06-26,39627403.8327
598,2018-06-25,43161057.6776
599,2018-06-24,40384615.3709
600,2018-06-23,38112980.7563
601,2018-06-22,42908653.8316
602,2018-06-21,39122596.1405
603,2018-06-20,39122596.1405
604,2018-06-19,40279018.6112
605,2018-06-18,38559792.2071
606,2018-06-17,40770226.1553
607,2018-06-16,37577377.119
608,2018-06-15,37577377.119
609,2018-06-14,35121339.3988
610,2018-06-13,35612546.9429
611,2018-06-12,34384528.0828
612,2018-06-11,31191679.0465
613,2018-06-10,35121339.3988
614,2018-06-09,35612546.9429
615,2018-06-08,35121339.3988
616,2018-06-07,36103754.4869
617,2018-06-06,42980660.1034
618,2018-06-05,39180231.3025
619,2018-06-04,34898238.8104
620,2018-06-03,32543142.9398
621,2018-06-02,35540537.6842
622,2018-06-01,36396936.1826
623,2018-05-31,37253334.6811
624,2018-05-30,29759847.8199
625,2018-05-29,33399541.4382
626,2018-05-28,35112338.435
627,2018-05-27,34684139.1858
628,2018-05-26,37681533.9303
629,2018-05-25,30616246.3183
630,2018-05-24,33370917.2394
631,2018-05-23,31104990.7602
632,2018-05-22,32340950.6579
633,2018-05-21,29663037.5461
634,2018-05-20,31722970.709000003
635,2018-05-19,30487010.8113
636,2018-05-18,27191117.7506
637,2018-05-17,36872803.6163
638,2018-05-16,30075024.1787
639,2018-05-15,27191117.7506
640,2018-05-14,30487010.8113
641,2018-05-13,33988897.1883
642,2018-05-12,26161151.1691
643,2018-05-11,30790397.6546
644,2018-05-10,31990023.5372
645,2018-05-09,27791332.948000003
646,2018-05-08,29990647.0661
647,2018-05-07,27391457.6537
648,2018-05-06,32189961.1843
649,2018-05-05,27591395.3009
650,2018-05-04,30190584.7133
651,2018-05-03,27991270.5951
652,2018-05-02,31590148.243
653,2018-05-01,30990335.3017
654,2018-04-30,31590148.243
655,2018-04-29,25592018.8298
656,2018-04-28,28391145.8893
657,2018-04-27,26910340.4324
658,2018-04-26,23474977.8241
659,2018-04-25,30345703.0408
660,2018-04-24,29200582.1714
661,2018-04-23,30536556.5191
662,2018-04-22,30345703.0408
663,2018-04-21,26146926.5195
664,2018-04-20,33971919.1275
